eFG_pct,Team_eFG_pct,2019_eFG_pct,Last_3_eFG_pct,Last_1_eFG_pct,Home_eFG_pct,Away_eFG_pct,2018_eFG_pct,2019_Turnover_rate,Last_3_Turnover_rate,Last_1_Turnover_rate,Home_Turnover_rate,Away_Turnover_rate,2018_Turnover_rate,2019_Offensive_Rebound_Rate,Last_3_Offensive_Rebound_Rate,Last_1_Offensive_Rebound_Rate,Home_Offensive_Rebound_Rate,Away_Offensive_Rebound_Rate,2018_Offensive_Rebound_Rate,2019_Free_Throw_Pct,Last_3_Free_Throw_Pct,Last_1_Free_Throw_Pct,Home_Free_Throw_Pct,Away_Free_Throw_Pct,2018_Free_Throw_Pct,,,
309,Abl Christian, 0.44 , 0.41 , 0.46 , 0.45 , 0.44 , 0.52 , 0.18 , 0.19 , 0.19 , 0.20 , 0.17 , 0.17 , 0.24 , 0.26 , 0.23 , 0.27 , 0.23 , 0.26 , 0.76 , 0.80 , 0.82 , 0.77 , 0.75 , 0.72 ,,,
39,Air Force, 0.54 , 0.63 , 0.54 , 0.58 , 0.52 , 0.51 , 0.18 , 0.17 , 0.12 , 0.18 , 0.17 , 0.19 , 0.18 , 0.18 , 0.12 , 0.20 , 0.17 , 0.21 , 0.74 , 0.73 , 0.77 , 0.79 , 0.69 , 0.68 ,,,
170,Akron, 0.49 , 0.52 , 0.56 , 0.49 , 0.50 , 0.48 , 0.20 , 0.21 , 0.24 , 0.20 , 0.19 , 0.17 , 0.27 , 0.28 , 0.42 , 0.25 , 0.28 , 0.23 , 0.76 , 0.77 , 0.69 , 0.74 , 0.79 , 0.71 ,,,
315,Alab A&M, 0.44 , 0.47 , 0.39 , 0.48 , 0.42 , 0.46 , 0.17 , 0.17 , 0.11 , 0.13 , 0.19 , 0.22 , 0.19 , 0.23 , 0.17 , 0.28 , 0.16 , 0.25 , 0.69 , 0.74 , 0.76 , 0.78 , 0.62 , 0.63 ,,,
89,Alabama, 0.52 , 0.57 , 0.56 , 0.51 , 0.53 , 0.50 , 0.23 , 0.23 , 0.26 , 0.24 , 0.21 , 0.19 , 0.31 , 0.35 , 0.24 , 0.31 , 0.31 , 0.30 , 0.70 , 0.69 , 0.71 , 0.73 , 0.66 , 0.67 ,,,
330,Alabama St, 0.43 , 0.43 , 0.41 , -- , 0.43 , 0.46 , 0.24 , 0.23 , 0.23 , -- , 0.24 , 0.20 , 0.16 , 0.22 , 0.24 , -- , 0.16 , 0.29 , 0.69 , 0.72 , 0.80 , -- , 0.69 , 0.65 ,,,
226,Albany, 0.48 , 0.49 , 0.55 , 0.49 , 0.47 , 0.49 , 0.18 , 0.21 , 0.29 , 0.18 , 0.18 , 0.21 , 0.22 , 0.18 , 0.23 , 0.21 , 0.23 , 0.25 , 0.75 , 0.73 , 0.65 , 0.78 , 0.74 , 0.75 ,,,
352,Alcorn State, 0.38 , 0.39 , 0.35 , -- , 0.38 , 0.46 , 0.22 , 0.24 , 0.22 , -- , 0.22 , 0.24 , 0.26 , 0.20 , 0.24 , -- , 0.26 , 0.29 , 0.71 , 0.64 , 0.64 , -- , 0.71 , 0.67 ,,,
75,American, 0.52 , 0.51 , 0.44 , 0.56 , 0.50 , 0.53 , 0.17 , 0.22 , 0.25 , 0.18 , 0.17 , 0.18 , 0.23 , 0.26 , 0.28 , 0.21 , 0.24 , 0.23 , 0.65 , 0.60 , 0.38 , 0.74 , 0.59 , 0.70 ,,,
267,App State, 0.46 , 0.42 , 0.49 , 0.49 , 0.45 , 0.51 , 0.20 , 0.18 , 0.14 , 0.19 , 0.21 , 0.18 , 0.24 , 0.25 , 0.19 , 0.22 , 0.25 , 0.25 , 0.63 , 0.51 , 0.59 , 0.68 , 0.60 , 0.72 ,,,
228,AR Lit Rock, 0.47 , 0.48 , 0.42 , 0.46 , 0.48 , 0.54 , 0.24 , 0.27 , 0.26 , 0.24 , 0.25 , 0.22 , 0.30 , 0.30 , 0.23 , 0.31 , 0.29 , 0.23 , 0.69 , 0.69 , 0.67 , 0.71 , 0.68 , 0.66 ,,,
13,Arizona, 0.57 , 0.48 , 0.29 , 0.59 , 0.53 , 0.49 , 0.17 , 0.16 , 0.22 , 0.16 , 0.18 , 0.16 , 0.31 , 0.27 , 0.27 , 0.32 , 0.29 , 0.26 , 0.74 , 0.80 , 0.82 , 0.73 , 0.75 , 0.72 ,,,
211,Arizona St, 0.48 , 0.48 , 0.46 , 0.48 , 0.48 , 0.51 , 0.16 , 0.15 , 0.16 , 0.13 , 0.18 , 0.18 , 0.24 , 0.24 , 0.36 , 0.33 , 0.17 , 0.30 , 0.70 , 0.69 , 0.68 , 0.69 , 0.70 , 0.68 ,,,
342,Ark Pine Bl, 0.41 , 0.41 , 0.50 , -- , 0.41 , 0.48 , 0.29 , 0.35 , 0.34 , -- , 0.29 , 0.22 , 0.20 , 0.24 , 0.20 , -- , 0.20 , 0.27 , 0.62 , 0.68 , 0.80 , -- , 0.62 , 0.68 ,,,
149,Arkansas, 0.50 , 0.50 , 0.49 , 0.51 , 0.47 , 0.51 , 0.18 , 0.21 , 0.19 , 0.18 , 0.19 , 0.18 , 0.22 , 0.21 , 0.23 , 0.24 , 0.15 , 0.26 , 0.78 , 0.78 , 0.70 , 0.80 , 0.69 , 0.67 ,,,
101,Arkansas St, 0.52 , 0.46 , 0.58 , 0.51 , 0.53 , 0.47 , 0.20 , 0.20 , 0.17 , 0.19 , 0.22 , 0.19 , 0.25 , 0.24 , 0.18 , 0.30 , 0.14 , 0.32 , 0.73 , 0.76 , 0.82 , 0.74 , 0.71 , 0.74 ,,,
122,Army, 0.51 , 0.52 , 0.50 , 0.54 , 0.47 , 0.50 , 0.19 , 0.18 , 0.19 , 0.19 , 0.18 , 0.16 , 0.16 , 0.19 , 0.27 , 0.18 , 0.14 , 0.18 , 0.55 , 0.53 , 0.55 , 0.53 , 0.58 , 0.68 ,,,
28,Auburn, 0.55 , 0.49 , 0.50 , 0.59 , 0.51 , 0.54 , 0.18 , 0.18 , 0.24 , 0.19 , 0.17 , 0.17 , 0.35 , 0.40 , 0.36 , 0.35 , 0.35 , 0.30 , 0.66 , 0.61 , 0.66 , 0.74 , 0.59 , 0.71 ,,,
90,Austin Peay, 0.52 , 0.56 , 0.59 , 0.59 , 0.46 , 0.53 , 0.19 , 0.20 , 0.09 , 0.18 , 0.20 , 0.16 , 0.34 , 0.36 , 0.29 , 0.39 , 0.31 , 0.32 , 0.72 , 0.73 , 0.65 , 0.70 , 0.74 , 0.71 ,,,
62,Ball State, 0.53 , 0.52 , 0.68 , 0.55 , 0.49 , 0.52 , 0.17 , 0.21 , 0.12 , 0.19 , 0.13 , 0.20 , 0.27 , 0.26 , 0.32 , 0.26 , 0.29 , 0.26 , 0.62 , 0.74 , 0.79 , 0.65 , 0.57 , 0.70 ,,,
119,Baylor, 0.51 , 0.49 , 0.36 , 0.51 , 0.51 , 0.51 , 0.17 , 0.16 , 0.22 , 0.18 , 0.16 , 0.19 , 0.36 , 0.36 , 0.37 , 0.39 , 0.33 , 0.37 , 0.73 , 0.74 , 0.82 , 0.67 , 0.80 , 0.68 ,,,
29,Belmont, 0.55 , 0.59 , 0.60 , 0.60 , 0.53 , 0.58 , 0.17 , 0.22 , 0.23 , 0.17 , 0.18 , 0.15 , 0.22 , 0.17 , 0.12 , 0.19 , 0.24 , 0.24 , 0.68 , 0.68 , 0.75 , 0.70 , 0.67 , 0.74 ,,,
